id,x,y,v,union,newx,newy
121,154.522720336914062,-323.593688964843750,14.421648025512695,10,153.806604523263928,-329.083910202828122
122,164.211349487304688,-321.365173339843750,14.499301910400391,10,166.120991657038388,-325.542515586136233
123,173.048507690429688,-318.561676025390625,14.591465950012207,10,174.242034046513282,-322.619665636074728
126,235.092742919921875,-291.541320800781250,13.068995475769043,10,237.837853538914061,-293.809020877340004
127,241.221572875976562,-287.257812500000000,12.836892127990723,10,244.444094037402238,-288.690044127300325
128,246.258972167968750,-282.774047851562500,12.741683959960938,10,248.407319608919124,-285.399805834946392
129,250.774063110351562,-277.515136718750000,12.526473045349121,10,253.280468458127046,-279.305426252875350
130,254.032409667968750,-272.489868164062500,12.489264488220215,10,257.493636100611127,-272.967278706495904
131,256.473846435546875,-267.518066406250000,12.378014564514160,10,259.577014961364171,-266.443892685774813
132,258.647064208984375,-260.801666259765625,12.322087287902832,10,261.153469556759831,-259.488787268073679
133,259.568420410156250,-255.300079345703125,12.271779060363770,10,261.239357308673220,-251.600147641844103
134,259.711914062500000,-248.184722900390625,12.218381881713867,10,260.428029876150219,-245.320259645790088
135,259.056335449218750,-242.621063232421875,12.206551551818848,10,260.011156534085615,-239.398542070996257
136,257.565551757812500,-236.135040283203125,12.270757675170898,10,258.759078113896066,-234.941513927119587
139,218.980850219726562,-153.790664672851562,18.000932693481445,10,214.445450066608998,-138.274822043765226
142,146.787368774414062,-21.745019912719727,16.702354431152344,10,143.684200248596795,-19.119261929335892
143,124.210762023925781,20.368925094604492,15.481529235839844,10,121.346298769325216,25.859146332588892
144,115.626930236816406,37.509159088134766,14.489861488342285,10,115.626930236816406,37.509159088134766
145,109.704254150390625,51.794414520263672,13.991980552673340,10,109.704254150390625,51.794414520263672
146,106.346130371093750,63.158473968505859,13.312448501586914,10,106.346130371093750,63.158473968505859
147,105.192283630371094,72.124786376953125,12.984511375427246,10,103.640699367462460,71.886081105736409
148,105.389564514160156,76.420425415039062,12.867553710937500,10,103.360569708818090,76.957512275276670
149,106.235366821289062,80.614959716796875,12.736753463745117,10,103.848314109121930,81.510104483859536
150,107.703201293945312,84.339294433593750,12.609383583068848,10,105.793559124211598,86.129583967719086
151,109.738647460937500,87.588554382324219,12.504709243774414,10,108.425768469245583,89.677225505470446
152,112.716148376464844,90.710586547851562,12.431180953979492,10,112.656472058660668,92.381523446368547
153,116.335678100585938,93.139411926269531,12.393841743469238,10,116.455030736194288,94.034556693332206
154,120.205215454101562,94.668395996093750,12.359158515930176,10,120.205215454101562,94.668395996093750
155,122.983436584472656,95.237342834472656,12.329150199890137,10,123.938257669339507,94.819608609843414
156,126.984291076660156,95.371131896972656,12.292158126831055,10,126.148822627401671,94.655016083322522
157,131.272399902343750,94.748512268066406,12.425459861755371,10,130.377255135281075,93.913043818807907
158,137.776535034179688,92.388412475585938,12.327978134155273,10,137.358800809550445,91.433591390719087
159,162.579299926757812,80.636871337890625,13.482447624206543,10,150.763389001530527,86.843208389525145
160,191.310211181640625,68.511833190917969,12.898612976074219,10,196.681079784016646,66.244133114359201
161,200.194702148437500,63.937870025634766,12.641644477844238,10,205.565570750813549,60.954054135425856
163,214.041091918945312,54.236640930175781,12.367911338806152,10,214.995913003812149,54.355993565784139
164,219.965713500976562,48.420291900634766,12.699638366699219,10,223.784997840443964,46.271944459684349
165,225.542007446289062,41.550525665283203,12.838340759277344,10,230.316112870623300,38.686062410682645
166,231.355163574218750,32.802284240722656,12.990052223205566,10,234.935742642469449,31.728110520247448
168,239.605224609375000,16.756698608398438,14.402262687683105,10,248.795377551218422,-7.471886420097906
169,251.170822143554688,-11.906894683837891,13.547624588012695,10,251.170822143554688,-11.906894683837891
170,255.357498168945312,-19.676269531250000,13.153644561767578,10,254.641382355295178,-19.676269531250000
171,259.501251220703125,-25.865644454956055,13.070644378662109,10,258.665782771444640,-27.894639260298113
172,265.301727294921875,-32.834236145019531,12.839843750000000,10,264.585611481271712,-36.772873120095291
173,272.707550048828125,-39.572048187255859,12.588392257690430,10,271.752728963961260,-43.749390433548342
174,279.898284912109375,-44.238162994384766,12.425837516784668,10,278.346700649200784,-46.863920977768601
175,287.364013671875000,-47.503845214843750,12.326106071472168,10,282.947966154365815,-49.174782113360749
176,292.606506347656250,-49.001502990722656,12.295080184936523,10,288.787222008188792,-50.433734618022925
177,297.844604492187500,-49.896366119384766,12.236381530761719,10,295.218846508803665,-50.970539839859981
178,303.600677490234375,-50.175312042236328,12.207761764526367,10,301.452330049283944,-50.533369949061409
179,309.033752441406250,-49.740039825439453,12.174466133117676,10,307.959578720931006,-50.098097732264534
180,313.153259277343750,-48.894081115722656,12.162601470947266,10,313.153259277343750,-48.894081115722656
181,317.919067382812500,-47.212909698486328,12.150657653808594,10,317.919067382812500,-47.212909698486328
182,322.695739746093750,-44.603340148925781,12.149485588073730,10,322.695739746093750,-44.603340148925781
183,325.913696289062500,-42.162811279296875,12.119071006774902,10,325.913696289062500,-42.162811279296875
184,328.796295166015625,-39.244411468505859,12.171575546264648,10,328.796295166015625,-39.244411468505859
185,331.893829345703125,-34.928710937500000,12.149290084838867,10,331.893829345703125,-34.928710937500000
186,333.635925292968750,-31.560976028442383,12.115818977355957,10,333.635925292968750,-31.560976028442383
187,335.537109375000000,-26.286777496337891,12.153958320617676,10,336.849988366691946,-24.257782690995832
188,337.501037597656250,-15.594960212707520,12.156286239624023,10,340.126795581040028,2.427287764154299
192,327.892272949218750,68.973670959472656,19.263950347900391,10,332.188967831119612,67.780144603389090
193,320.292419433593750,104.473434448242188,20.854963302612305,10,321.724651060894018,113.782940025693989
194,316.343658447265625,119.080039978027344,17.739046096801758,10,317.298479532132490,126.957313928178863
195,312.820434570312500,128.409484863281250,16.210674285888672,10,314.252666197612825,132.944885016398786
196,308.522766113281250,136.133590698242188,15.403922080993652,10,310.313055647406600,139.236759224059455
197,303.055419921875000,142.701126098632812,14.797024726867676,10,304.010241006741808,144.133357725933109
198,296.823913574218750,147.598312377929688,14.067813873291016,10,298.256145201518962,147.837017649146389
199,292.568572998046875,149.782928466796875,13.839963912963867,10,294.120157260955523,149.544223195580173
200,288.484558105468750,151.229339599609375,13.640473365783691,10,288.484558105468750,151.229339599609375
201,279.657073974609375,152.786712646484375,13.134849548339844,10,279.657073974609375,152.786712646484375
202,269.852355957031250,152.657424926757812,12.878360748291016,10,269.136240143381144,151.344545935065895
203,259.790893554687500,150.886322021484375,12.942642211914062,10,258.239309291778852,148.857327216142323
206,202.298049926757812,131.377853393554688,19.885993957519531,10,202.536755197974514,130.661737579904553
207,192.063720703125000,128.237030029296875,17.579204559326172,10,192.063720703125000,128.237030029296875
208,184.908432006835938,126.833984375000000,15.651216506958008,10,184.908432006835938,126.833984375000000
209,179.729873657226562,126.418548583984375,13.961944580078125,10,179.729873657226562,126.418548583984375
210,173.681320190429688,126.696517944335938,12.684378623962402,10,173.681320190429688,126.696517944335938
211,169.033203125000000,127.871833801269531,12.804982185363770,10,169.033203125000000,127.871833801269531
212,164.048477172851562,130.442733764648438,13.060592651367188,10,164.048477172851562,130.442733764648438
213,159.706161499023438,134.282073974609375,13.142591476440430,10,159.706161499023438,134.282073974609375
214,156.342254638671875,139.204452514648438,13.328576087951660,10,157.356752041342901,139.801215692690221
215,154.566955566406250,143.659683227539062,13.626996994018555,10,157.491095138810977,145.390296443860223
216,153.262069702148438,149.995391845703125,14.464034080505371,10,158.036175126482675,150.950212930569990
217,152.855987548828125,154.886917114257812,15.467234611511230,10,158.346208786812525,155.543356610103785
218,153.038574218750000,160.477111816406250,15.656919479370117,10,158.827177045755292,161.789990808098167
219,154.201385498046875,171.728942871093750,13.137138366699219,10,159.214196193597843,168.983832252101564
220,154.108367919921875,177.450119018554688,12.312489509582520,10,158.166357530605978,177.987205878792309
221,152.713973999023438,183.563781738281250,12.563951492309570,10,156.592934656295000,184.876660729973139
222,150.177658081054688,188.836914062500000,13.096228599548340,10,153.101797653459442,189.612706193954324
223,145.606506347656250,194.396163940429688,12.671038627624512,10,147.158090610564898,194.933250800667309
224,139.779876708984375,198.341369628906250,12.574883460998535,10,139.779876708984375,198.341369628906250
225,132.841262817382812,200.707336425781250,12.550861358642578,10,132.841262817382812,200.707336425781250
226,126.066909790039062,201.421524047851562,12.521216392517090,10,126.066909790039062,201.421524047851562
227,117.922714233398438,200.744766235351562,12.311694145202637,10,117.922714233398438,200.744766235351562
230,50.908161163330078,184.009521484375000,13.733761787414551,10,48.759813722379661,188.186863730667454
231,41.344978332519531,180.175186157226562,13.141915321350098,10,43.135267866644881,186.381523208861097
232,33.685039520263672,176.036682128906250,12.787039756774902,10,37.384971224122715,184.033308714666106
233,28.321424484252930,171.720581054687500,13.087863922119141,10,33.811645722237323,181.626849810181085
234,22.895565032958984,165.109054565429688,12.970791816711426,10,29.101902084593515,177.641081304307107
235,20.044471740722656,160.210861206054688,13.014266967773438,10,25.295987707490333,173.936414301015674
236,17.591268539428711,154.844329833984375,12.838077545166016,10,22.484726599371321,170.479525098679062
237,13.031660079956055,141.248077392578125,13.260674476623535,10,19.834760309632372,164.402488700599264
238,8.717382431030273,122.650390625000000,13.122381210327148,10,16.952714288006860,157.023949680206613
239,5.027304649353027,100.828788757324219,13.327965736389160,10,4.311188835702893,107.273831080175469
242,0.073378905653954,27.678670883178711,15.139549255371094,10,-0.404031636779479,38.181702816714079
